Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Title Mood, Comments Mood,Comment
Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
1,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","Mtaz","31","http://www.dslreports.com//forum/r30195008-STB-Need-help-How-to-hide-a-STB","2015-Jul-15 9:47 pm","POSTIVE","POSTIVE","Long story, Got home from work yesterday and when to put on 618 to watch the news and got a Subscription is needed error. I have ultimate so I called Verizon and my cable cards had to be reactivated but now Fox networks are showing the copyright flag. I have 5 HTPC in my house with HD Homerun Prime Tuners. I use 1 primary PC as the DVR and I watch non protected content over the network. I am fully aware that HBO and Max have copyright flags and will not allow playback on a machine that it was not recorded on but now Fox News and Fox Business are showing the same error?? What gives, did Verizon now add the copyright flag??!!!"Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
2,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","Lazz","5","http://www.dslreports.com//forum/r30193981-Where-is-Sundance-HD","2015-Jul-26 6:14 pm","POSTIVE","POSTIVE","Hi all,I'm sure the answer is somewhere out here somewhere, but hoping someone can help me.Trying to simply hide a STB in a cabinet near the TV, and I believe I need some kind of IR system to do this?   Is that right?   Are these simple to set up?If anyone can help with any guidance and/or recommendations on equipment to buy (economical is better!!), I'd appreciate it greatly.Thanks in advance!!!"Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
3,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","BSAIII","5","http://www.dslreports.com//forum/r30186611-FiOS-TV-Digital-Adapter-Rate-Increase","2015-Jul-25 10:49 pm","NEGATIVE","POSTIVE","VH03 Sundance HD was on chan 733. Guide now shows 732 and 734.  Doing a search still shows programs on 733 but trying to record one results the normal record panel but no program info shown."Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
4,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","chewypgh","28","http://www.dslreports.com//forum/r30192496-Lost-FiosTV-video-in-under-one-houir","2015-Jul-22 8:04 am","NEGATIVE","POSTIVE","To continue providing you with quality service andproduct innovation, on or after 30 days from the date ofyour bill, the monthly rate for your FiOS Digital AdapterTV equipment will increase $2 per adapter. This rateincrease will not apply to digital adapters that aresubject to a current equipment promotional offer. If youwould like to review your current services andequipment options, please visit myverizon.com"Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
5,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","ctbarker32","14","http://www.dslreports.com//forum/r30192750-Fios-Mobile-App","2015-Jul-24 9:24 pm","NEUTRAL","POSTIVE","So, I am watching FiosTV around 3:15pm today. Everything is fine. After some time the video starts to pixelate badly. I change channel and it returns okay. A while later it pixelates badly and finally the video disappears completely.I call Fios support. I get wrong section (biliing) they transfer me and of course phone is cut off. Call again, and finally get to tech support. I explain my situation. Tech guy has me reboot Setop boxes. He says I have very low signal. He immediately tells me I have bad wiring. This starts to sound like a Bell Atlantic call - blame customer first. I say this ridiculous I have had the same setup since 2006 and have not changed anything and it was working great less than an hour ago. He insists it 's all my problem. I ask to escalate to higher engineer. He claims I may have dirty fiber? I say all my wire is buried and undisturbed. Finally schedules tech home call on Sunday.I pay $213 for this crappy type of service. I'm sure it is a problem on FiosTV's side but I'm sure I'll never get an honest answer from Verizon.BTW, the Internet is working flawlessly at about 85 mbps. Go firgure?-CB"Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
6,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","RobertMets12","8","http://www.dslreports.com//forum/r30193302-Channels-Cord-Cutter-Dilemma-Triple-Play-with-Custom-TV-Package","2015-Jul-25 12:27 am","POSTIVE","POSTIVE","Does anyone know if the Mobile App will add the Regional Sports Networks like Sny anytime soon."Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
7,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","bgrfan","2","http://www.dslreports.com//forum/r30118845-NBA-League-Pass-Single-Game-Packages","2015-Jul-25 2:04 pm","POSTIVE","POSTIVE","I have been a customer for number of years. Last Fall, I dropped STB and DVR service, buying a HDHomeRun Prime, and investing in a Mac Mini (running Windows 8.1 with WMC), paying $5 / month to rent the cable card. My 2 year agreement expired in Dec., where my bill jumped because I no longer received any discounts.The monthly bill avg jumped from $125+ to  $150+ (with taxes and fees).Two weeks ago, I called to cancel service -- but a representative convinced me to stay with VZ, and signed me up as a new customer, which would include $350 Visa prepaid card; he arranged to have my existing service cut off the day before my installation date.Initially, the installation order was for Extreme HD, 50/50, Voice, 12 mo free Entertainment Package: $109.99.I did more research afterwards and looked into the Custom TV package -- given we're not big sports watchers.The next day, I spoke with a representative who was extremely helpful (probably one of the best) who offered to look into all the options to lower my bill, even seeing if the $350 Visa prepaid was worthwhile -- to avoid having me locked into a contract, etc. Changed the order to Custom TV, 50/50, Voice, 12 mo free Entertainment Package: $79.99 (which includes a $20/mo existing FIOS ready discount). The rep even sent a couple of follow-up emails to specify installation, activation fees would be waived; in addition, I would receive the $350 Visa prepaid gift card.After installation, we decided we didn't like the 2 free Channel Packs, and tried to change 1 of the packs for another. For some reason, My Verizon portal is incredibly slow ... and somehow, inadvertently changed Internet to 25/25.Called in to ask for help...another representative then helped to place a 'new order,' but offered Triple Play with 75/75 with Free Quantum router: $99 but would receive $15 'Valued Customer credit'/mo for 12 months making the bundle $85.99 for first 12 months -- though it's very questionable on whether he baked in the cost of the router. This representative was shady when I requested for him to send a written email with how the first bill - ensuring I wouldn't be charged installation, activation fees. But he gave lame excuse that they're not able to send individual emails, but assured me I would keep existing discounts, and any other promotions already offered. A few hours later, I received an automated email with Preview of the order. The first monthly bill was $180 !!!!! It included being charged for Quantum router ... installation, activation fees.Unfortunately my bill does not cut for another 2 days, so I still don't know what the first bill will look like. In addition, when I log into my account, it shows I've paid for the Quantum Router, and my Bundle Price is $89.99.TLDR: for 'cord cutters': does the Custom TV plan seem worthwhile? VZ definitely did their homework & split off the channels that we watch into 3 channel packs.I looked at different service options... If I drop to 50/50, and change to Extreme TV, the monthly Triple Play with 'retain current agreement' price is $99.99. However, I assume w/ taxes and fees especially with the $4.99 sports fee, this will be around $120... Or am I better off, dropping to 50/50 and adding another Channel Pack?Separately, ever since EPG and other changes, we are having issues with audio drops (PC connected to AVR via HDMI). And with Windows 10...need to look at other options for watching / recording TV."Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
8,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","matcarl","16","http://www.dslreports.com//forum/r30114294-New-Quantum-IMG-APR-2-0-Build-04-25-6-15-15","2015-Jun-17 5:56 am","POSTIVE","POSTIVE",""Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
9,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","webcobbler","31","http://www.dslreports.com//forum/r30169540-Nick-Toons-HD-added-VH07","2015-Jun-15 3:16 am","POSTIVE","POSTIVE","Release: APR-2.0Build Number: 04.25UI Version: 04.25Middleware Version: 04.25Firmware Version: KA15.09.16.05Alder.480010Platform ID: VMS1100"Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
10,"Forums>US Telco Support>Verizon>Verizon FiOS TV","</h1","bsangs","31","http://www.dslreports.com//forum/r30191409-NEWS-Verizon-Gives-Employees-App-to-Record-Bad-Union-Behavior","2015-Jul-13 6:33 pm","POSTIVE","POSTIVE","Live on channel 754. Is this new?"Index,Forum,Title,AuthorName,TotalComments,NextLink,PostedTimeon,Comment
